collectedBy,organization,type,university,city,state,latitude,longitude,totalMembers,paddles(y/n),website,instagram
Carlo,Alpha Kappa Delta Phi,Sorority,University of Houston,Houston,TX,29.7199,-95.3422,419,y,http://www.akdphi.org/chapters,https://www.instagram.com/p/BbFbhlkgRBJ/?hl=en
Carlo,Alpha Kappa Delta Phi,Sorority,University of Illinois at Urbana-Champaign,Naperville,IL,40.102,-88.2272,164,y,https://www.uiucakdphi.org/,https://www.instagram.com/uiucakdphi/?hl=en
Carlo,Alpha Kappa Delta Phi,Sorority,University of Illinois at Chicago,Chicago,IL,41.8698,-87.6496,179,n,https://uicakdphi.wixsite.com/uicakdphi,https://www.instagram.com/uicakdphi/
Carlo,Alpha Kappa Delta Phi,Sorority,"University of Maryland, College Park",College Park,MD,38.9869,-76.9426,96,n,0,0
Carlo,Alpha Kappa Delta Phi,Sorority,Northern Illinois University,DeKalb,IL,41.9342,-88.7741,34,n,https://www.niuakdphi.org/,https://www.instagram.com/niuakdphi/
Carlo,Alpha Kappa Delta Phi,Sorority,San Francisco State University,San Francisco,CA,37.7241,-122.4799,22,y,https://sfsuakdphiwebmistr.wixsite.com/sfsuakdphi,https://www.instagram.com/sfsu_akdphi/?hl=en
Carlo,Alpha Kappa Delta Phi,Sorority,Carnegie Mellon University,Pittsburgh,PA,40.4427,-79.943,0,n,0,https://www.instagram.com/cmu_akdphi/?hl=en
Carlo,Alpha Kappa Delta Phi,Sorority,Syracuse University,Syracuse,NY,43.0392,-76.1351,0,n,0,https://www.instagram.com/akdphi/?hl=en
Carlo,Alpha Kappa Delta Phi,Sorority,"University of Maryland, Baltimore County",Baltimore,MD,39.2557,-76.711,96,n,https://www.umbcakdphi.com/,https://www.instagram.com/umbcakdphi/?hl=en
Carlo,Alpha Kappa Delta Phi,Sorority,St John's University Queens Campus,Queens,NY,40.7221,-73.7942,72,n,https://sjuakdphi.wixsite.com/sjuakdphi,https://www.instagram.com/sjuakdphi/?hl=en
Carlo,Alpha Kappa Delta Phi,Sorority,California State University San Marcos,San Marcos,CA,33.1295,-117.1596,65,n,http://www.akdphicsusm.com/,https://www.instagram.com/csusmakdphi/
Carlo,Alpha Kappa Delta Phi,Sorority,Virginia Polytechnic Institute and State University,Blacksburg,VA,37.2284,-80.4234,103,y,http://www.akdphi.org.vt.edu/,0
Carlo,Alpha Kappa Delta Phi,Sorority,George Mason University,Fairfax,VA,38.8298,-77.3074,32,y,https://gmuakdphi.wixsite.com/home,https://www.instagram.com/gmuakdphi/?hl=en
Carlo,Alpha Kappa Delta Phi,Sorority,University of California Santa Cruz,Santa Cruz,CA,36.9881,-122.0582,298,n,https://ucscakdphi.wixsite.com/home/meet-the-sisters,https://www.instagram.com/ucsc_akdphi/
Carlo,Alpha Kappa Delta Phi,Sorority,Purdue University,West Lafayette,IN,40.4237,-86.9212,137,y,https://purdueakdphi.wixsite.com/home,https://www.instagram.com/purdueakdphi/?hl=en
Carlo,Alpha Kappa Delta Phi,Sorority,The University of Texas at Arlington,Arlington,TX,32.7291,-97.1121,67,n,https://arlingtonakdphi.wixsite.com/home,https://www.instagram.com/arlington.akdphi/?hl=en
Carlo,Alpha Kappa Delta Phi,Sorority,The University of Texas at Austin,Austin,TX,30.2849,-97.7341,419,n,https://www.texasakdphi.com/,https://www.instagram.com/texasakdphi/
Carlo,Alpha Kappa Delta Phi,Sorority,Stanford University,Stanford,CA,37.4275,-122.1697,0,n,https://stanfordakdphi.weebly.com/,0
Carlo,Alpha Kappa Delta Phi,Sorority,University of Michigan,Ann Arbor,MI,42.278,-83.7382,243,n,http://www.akdphiatumich.org/index.html,https://www.instagram.com/umichakdphi/?hl=en
Carlo,Alpha Kappa Delta Phi,Sorority,Virginia Commonwealth University,Richmond,VA,37.5483,-77.4527,0,y,https://vcuakdphi.webs.com/,https://www.instagram.com/vcuakdphi/?hl=en
Carlo,Alpha Kappa Delta Phi,Sorority,"University of Maryland, College Park",College Park,MD,38.9869,-76.9426,141,y,https://www.umcpakdphi.com/,https://www.instagram.com/umbcakdphi/?hl=en
Carlo,Alpha Kappa Delta Phi,Sorority,University of Oklahoma,Norman,OK,35.2059,-97.4457,162,n,https://ouakdphi.wixsite.com/ouakdphi,https://www.instagram.com/ouakdphi/?hl=en
Carlo,Alpha Kappa Delta Phi,Sorority,Pennsylvania State University,State College,PA,40.7982,-77.8599,194,n,https://psuakdphi.wixsite.com/psuakdphi,0
Carlo,Alpha Kappa Delta Phi,Sorority,California Polytechnic State University,San Luis Obispo,CA,35.305,-120.6625,126,n,https://www.sloakdphi.com/,https://www.instagram.com/sloakdphi/
Carlo,Alpha Kappa Delta Phi,Sorority,Baruch College,New York City,NY,40.7404,-73.9832,67,n,https://arlingtonakdphi.wixsite.com/home/roster,https://www.instagram.com/arlington.akdphi/
Carlo,Alpha Kappa Delta Phi,Sorority,James Madison University,Harrisonburg,VA,38.4351,-78.8698,105,y,https://jmuweb.wixsite.com/jmuakdphi,https://www.instagram.com/jmuakdphi/
Carlo,Alpha Kappa Delta Phi,Sorority,University of Washington,Seattle,WA,47.655548,-122.3032,148,n,https://uwakdphi.weebly.com/,https://www.instagram.com/uw_akdphi/?hl=en
Carlo,Alpha Kappa Delta Phi,Sorority,Univeristy of Iowa,Iowa City,IA,41.6627,-91.5549,55,n,https://uiowaakdphi.wixsite.com/universityofiowa,https://www.instagram.com/uiowa.akdphi/?hl=en
Carlo,Alpha Kappa Delta Phi,Sorority,Rutgers University,New Brunswick,NJ,40.5008,-74.4474,178,y,http://www.rutgersakdphi.com/,https://www.instagram.com/ruakdphi/?hl=en
Carlo,Alpha Kappa Delta Phi,Sorority,Michigan State University,East Lansing,MI,42.7018,-84.4822,120,y,https://www.instagram.com/msuakdphi/?hl=en,https://www.instagram.com/msuakdphi/?hl=en
Carlo,Alpha Kappa Delta Phi,Sorority,Stony Brook University,Stony Brook,NY,40.9124,-73.1234,181,n,https://stonyakdphi.wixsite.com/alphagamma/roster,https://www.instagram.com/stonyakdphi/?hl=en
